Facility ID,Owner Name,Facility Name,Street Address,City,Zip,County,Tank Id,Installed,Material,Compartments,Tank Status,Regulated,Closed,Capacity,Substance
2803497,"D & H OPERATING, LLC",Hop-N-Go #1,4372 COAL HERITAGE RD,BLUEFIELD,24701,Mercer,3,1984-07-25,Steel,1,Permanently Out of Service,Yes,2015-01-27,4000.0,Gasoline
2803497,"D & H OPERATING, LLC",Hop-N-Go #1,4372 COAL HERITAGE RD,BLUEFIELD,24701,Mercer,4,1984-07-25,Steel,1,Permanently Out of Service,Yes,2015-01-27,4000.0,Diesel
2803497,"D & H OPERATING, LLC",Hop-N-Go #1,4372 COAL HERITAGE RD,BLUEFIELD,24701,Mercer,5,2015-02-27,Composite (Fiberglass/polyurethane-coated),3,Currently In Use,Yes,,20000.0,"Diesel-onroad
Regular Unleaded"
2803498,"RAGAZZI, INC.",FAST STOP CONVENIENCE STORE,3214 CUMBERLAND RD,BLUEFIELD,24701,Mercer,-6,1984-12-06,Steel,1,Permanently Out of Service,Yes,2011-03-08,4000.0,Diesel
2803498,"RAGAZZI, INC.",FAST STOP CONVENIENCE STORE,3214 CUMBERLAND RD,BLUEFIELD,24701,Mercer,-5,1984-12-06,Steel,1,Permanently Out of Service,Yes,2011-03-08,4000.0,Gasoline
2803498,"RAGAZZI, INC.",FAST STOP CONVENIENCE STORE,3214 CUMBERLAND RD,BLUEFIELD,24701,Mercer,-4,1975-12-07,Steel,1,Permanently Out of Service,Yes,2011-03-08,4000.0,Gasoline
2803498,"RAGAZZI, INC.",FAST STOP CONVENIENCE STORE,3214 CUMBERLAND RD,BLUEFIELD,24701,Mercer,-3,1975-12-07,Steel,1,Permanently Out of Service,Yes,2011-03-08,4000.0,Gasoline
2803498,"RAGAZZI, INC.",FAST STOP CONVENIENCE STORE,3214 CUMBERLAND RD,BLUEFIELD,24701,Mercer,-2,1975-12-07,Steel,1,Permanently Out of Service,Yes,2011-03-08,4000.0,Gasoline
2803498,"RAGAZZI, INC.",FAST STOP CONVENIENCE STORE,3214 CUMBERLAND RD,BLUEFIELD,24701,Mercer,-1,1975-12-07,Steel,1,Permanently Out of Service,Yes,2011-03-08,4000.0,Gasoline
2803498,"RAGAZZI, INC.",FAST STOP CONVENIENCE STORE,3214 CUMBERLAND RD,BLUEFIELD,24701,Mercer,7,2011-05-01,Fiberglass Reinforced Plastic,1,Currently In Use,Yes,,12000.0,Gasoline
2803498,"RAGAZZI, INC.",FAST STOP CONVENIENCE STORE,3214 CUMBERLAND RD,BLUEFIELD,24701,Mercer,8,2011-05-01,Fiberglass Reinforced Plastic,1,Currently In Use,Yes,,4000.0,Gasoline
